Case ID,Client Name,Case Description,Status
1,John Doe,Contract dispute regarding service agreement,Open
2,Jane Smith,Personal injury claim from a car accident,Closed
3,Arjun Patel,Property dispute over inherited land,Pending
4,Anita Rao,Divorce proceedings initiated by the client,Open
5,Rahul Kumar,Intellectual property rights infringement case,Closed
6,Deepika Singh,Consumer complaint against a defective product,Resolved
7,Suresh Verma,Employment termination dispute,Pending
8,Neha Gupta,Criminal defense for alleged theft,Open
9,Karan Mehta,Tax evasion case filed by the government,Closed
10,Simran Kaur,Family court case regarding child custody,Open
